Open,High,Low,Vol,Change,PriceTomorow
20769.5,20867.9,20231.6,365491,-0.0229,20594.4
20086.8,20981.5,20062.9,427991,0.0342,20292.9
19331.8,20406.9,19249,371541,0.0389,20769.5
19571.2,19588.6,19177.2,286941,-0.0122,20082.7
19204.8,19680.9,19092.5,180631,0.0191,19331.5
19162.6,19249.9,19116.1,118241,0.0022,19571.2
19042.9,19245.5,18703.3,294661,0.0063,19204.8
19125.1,19334.5,18935.6,253201,-0.0042,19162.6
19328.2,19358.6,19101.2,209281,-0.0106,19042.9
19548.4,19692.9,19102.8,290071,-0.0113,19123.9
19262.2,19663.5,19163.6,248401,0.0149,19328.2
19068.8,19411.9,19066,140951,0.0101,19548.2
19181.7,19218.7,19000.8,123661,-0.0059,19261.9
19379.8,19933.9,19098.6,400451,-0.0102,19068.7
19154.6,19494.4,18207.9,455131,0.0117,19181.8
19058.5,19212.6,19010.6,242181,0.005,19379.8
19134.3,19261.3,18868.7,288571,-0.0039,19154.8
19441.7,19520.7,19057,243771,-0.0158,19059.1
19416.3,19552.1,19329.6,127531,0.0013,19134.6
19530.2,19612.2,19274.7,113501,-0.006,19441
19962.4,20051.4,19352.1,263501,-0.0213,19415
20157.5,20436.7,19873.7,370601,-0.01,19531.3
20340.5,20353.8,19761.7,352761,-0.009,19956.7
19629.7,20436.1,19506.4,368171,0.0363,20157.5
19057.6,19676,19001.3,333031,0.0302,20340.2
19311.9,19389.9,18937.3,222821,-0.0134,19628.3
19422.9,19480.3,19172.6,173911,-0.0057,19052.2
19593.4,20174.9,19208.9,490291,-0.0087,19311.9
19420.2,19631.5,18877.9,449571,0.0094,19423
19083.4,19757.8,18505.3,581191,0.0173,19593
19228.8,20361.2,18850.4,660121,-0.0075,19411
18803.1,19304.8,18695.2,516031,0.0225,19081
18925.1,19125.1,18659.6,209711,-0.0064,19225.7
19288.4,19310.6,18812,258501,-0.0191,18803.2
19404.1,19477.3,18554.8,431151,-0.0057,18925.2
18488.1,19490.9,18371,448631,0.0495,19293.5
18875.1,19758.4,18191.8,446851,-0.0203,19404
19538.9,19626.3,18742.6,361181,-0.0341,18489
19417.4,19666.6,18277.8,423431,0.0062,18872.4
20113.9,20113.9,19347.7,273111,-0.0345,19538.9
19802.8,20178.6,19761,204581,0.0157,19418.8
19701.9,19883,19352.9,315591,0.0051,20113.5
20222.3,20321.4,19532.3,358421,-0.0258,19802.4
20175.5,20503.7,19654.2,374221,0.0023,19701.7
22395.3,22702.5,19909.6,485321,-0.0991,20222.5
21836.6,22465.4,21581.6,431981,0.0257,20175.5
21650.4,21836.4,21363,297121,0.0085,22395.3
21363.8,21790.6,21139.9,331121,0.0133,21834.9
19318.8,21545.7,19294.1,480371,0.106,21650.4
19281.5,19444.7,19034.5,291431,0.0019,21365.2
18786.3,19445.9,18548.4,319101,0.0264,19317.4
19793.4,20169.3,18723.3,402431,-0.0509,19281.5
19999.9,20042.9,19650.7,238711,-0.0103,18786.4
19832.2,20017.8,19594.7,158271,0.0085,19793.1
19952.8,20043.8,19660.7,157851,-0.0061,19999.9
20131.6,20428.2,19764.7,272221,-0.0086,19831.4
20049.9,20202.7,19584.4,275081,0.0041,19952.7
19793.4,20469.1,19793.4,318171,0.0127,20126.1
20295.6,20558.2,19559.7,308411,-0.0248,20043.9
19551.3,20394.5,19551.2,248041,0.0381,19792.6
